1st NAME	px   py   pz   pt1   E			2nd NAME	px   py   pz   pt2   E
b   -44.8374   -3.07269   -42.4669   44.9425   61.9744      b   -52.6923   -20.1394   -29.8508   56.4099   63.9586
b   38.7054   19.9895   22.1736   43.5625   49.0603      b   18.4698   71.8649   10.6144   74.2004   75.0728
b   -0.998525   -16.9105   80.4005   16.94   82.2724      b   -1.04227   -5.2329   13.2298   5.33569   14.8678
b   -25.8028   70.0527   -6.58165   74.6537   75.0603      b   -7.72536   28.2389   -39.3297   29.2766   49.2087
b   69.0862   -6.91452   5.0458   69.4314   69.7405      b   22.6808   -31.8151   70.3158   39.072   80.5512
b   -96.2416   23.8619   -7.2106   99.1556   99.5057      b   -1.8073   46.1612   -61.1065   46.1966   76.7182
b   22.697   -5.49491   2.00253   23.3527   23.8099      b   44.4489   -2.77894   1.95867   44.5357   44.7752
b   -22.0157   -13.8115   -11.1693   25.9894   28.5964      b   -9.09664   -22.9726   -3.7344   24.708   25.3375
b   7.18139   -43.7451   26.1175   44.3307   51.6225      b   5.37106   -23.9531   36.5765   24.5479   44.2493
W   1.05111   1.29126   -5.30711   1.66499   80.5822      W   4.26503   0.0601553   -14.2828   4.26546   81.7603
b   9.19189   -4.29594   -29.9915   10.1462   31.9373      b   41.0561   -49.468   -27.2523   64.2859   69.9494
b   1.66241   -3.80746   11.7935   4.15456   13.1873      b   65.6078   -93.824   12.9294   114.487   115.291
W   39.3679   -60.0318   4.43172   71.7889   107.87      W   13.159   -0.605537   20.0404   13.1729   83.891
b   5.69321   -20.558   -59.9066   21.3318   63.7292      b   12.1682   -76.9429   -4.86089   77.8992   78.1631
W   7.93841   -0.0621943   36.5147   7.93865   88.6504      W   33.1358   -0.328545   52.6175   33.1375   101.633
b   -2.50887   17.032   3.6151   17.2157   18.0833      b   -9.93673   17.0869   50.5759   19.7662   54.4627
b   7.8409   31.1343   -11.0474   32.1065   34.2115      b   22.9273   12.5269   -69.4933   26.1263   74.3604
b   -87.5287   -1.44324   1.09179   87.5406   87.6476      b   -4.64342   -4.31138   83.6593   6.33636   84.0034
b   86.0598   1.43322   0.684709   86.0717   86.1764      b   3.99426   6.51943   43.0349   7.64572   43.9092
b   -5.09268   12.181   1.46913   13.2027   13.9293      b   -1.6772   7.159   17.8431   7.35284   19.7484
b   -46.4283   40.3663   29.4532   61.5226   68.338      b   -21.0812   33.9663   17.2327   39.9766   43.7339
b   -7.23409   -49.2781   -36.6788   49.8063   61.9964      b   -21.2505   -9.67791   -43.1919   23.3505   49.2782
Z   16.4229   -0.373256   -28.781   16.4271   97.0248      Z   46.1491   -0.296971   -67.9319   46.15   122.72
W   2.37728   40.7058   22.6456   40.7751   92.9408      W   0.430802   24.6162   24.9272   24.6199   87.693
b   15.5995   -30.7041   -2.5662   34.4396   34.7883      b   24.6333   -22.0537   -8.53339   33.063   34.4026
b   -39.7551   53.8019   34.4256   66.8963   75.3511      b   -30.1683   42.5175   15.8954   52.1332   54.6634
W   27.9053   50.8405   -9.18245   57.9954   99.5506      W   17.5538   7.73985   -2.91635   19.1844   82.6988
W   9.86098   20.5627   12.0415   22.8049   84.4252      W   22.9215   40.6788   4.90667   46.6921   93.0956
b   19.9311   -42.063   31.8782   46.5462   56.5714      b   8.64021   -8.81166   42.0431   12.3409   44.0168
b   9.27914   -96.1846   -0.650916   96.6312   96.7242      b   13.8876   -1.89542   -3.08926   14.0163   14.9518
b   8.5791   -12.4799   1.47542   15.1442   15.7823      b   48.3974   -84.8747   4.77203   97.7038   97.9099
b   -0.51546   0.0452634   59.6464   0.517443   59.7956      b   -37.7234   0.0644244   30.2596   37.7235   48.5413
b   -72.4528   -22.2707   -32.4471   75.7983   82.5576      b   -2.14841   -38.95   -6.18396   39.0092   39.718
b   19.6449   -49.2767   -7.86648   53.0483   53.7918      b   7.59386   -6.73849   -42.9329   10.1525   44.3155
b   48.0663   3.94589   -1.07596   48.228   48.4216      b   5.66207   1.03498   -0.126148   5.75588   7.12055
b   -29.1132   42.8813   -45.0642   51.8303   68.8093      b   -3.96092   56.6357   -37.6103   56.774   68.2304
b   -3.7402   12.411   3.41948   12.9623   14.0453      b   -67.0942   15.4728   70.4152   68.8552   98.5743
W   -22.4887   30.3253   55.4211   37.754   104.687      W   -2.39464   64.9683   40.9199   65.0124   111.192
b   58.9789   0.379797   -32.5147   58.9801   67.479      b   11.4387   0.0734352   -25.8554   11.4389   28.5816
Z   -27.2774   3.12062   0.794199   27.4553   95.2368      Z   -2.61851   20.2363   25.023   20.405   96.7374
b   15.113   -55.4486   23.2303   57.4713   62.1301      b   15.4663   -2.78324   4.6827   15.7147   16.9244
b   -17.2318   -28.8331   9.88862   33.5899   35.265      b   -18.7057   -26.0481   39.0251   32.0688   50.6846
Z   4.68129   -14.1652   1.71905   14.9187   92.4183      Z   70.7471   -22.8466   5.48281   74.3446   117.783
b   -57.006   -46.1688   -12.1514   73.357   74.4745      b   -29.0591   -11.3413   -15.5033   31.1938   35.0851
b   -8.1222   -16.7349   -50.9713   18.6018   54.4211      b   -11.418   -4.75741   -5.89069   12.3694   14.3269
b   -27.5333   2.08121   -3.8867   27.6118   28.1971      b   -67.5175   2.87078   -8.9465   67.5785   68.2968
b   39.8535   53.5241   -36.0146   66.7318   75.9456      b   21.9343   24.5892   -16.6477   32.9506   37.1544
b   3.68337   16.0979   -0.401164   16.5139   17.0419      b   13.6274   12.0679   -6.49055   18.2027   19.7743
b   -36.3319   -59.2016   -65.998   69.461   95.9069      b   -12.3808   -15.4599   -8.18481   19.8064   21.8367
W   -10.6573   3.74433   -18.336   11.296   83.2247      W   -6.2912   22.9316   -7.22489   23.7789   84.1439
b   11.623   0.321915   60.2939   11.6275   61.5476      b   15.4803   1.24728   14.7918   15.5305   21.8529
b   -58.6528   0.186845   60.6671   58.6531   84.4882      b   -19.2386   5.83828   38.0705   20.1049   43.2565
W   -6.48271   -22.7885   -14.3262   23.6926   85.0243      W   -71.2888   -29.2365   -54.2883   77.0511   123.882
